ID,Title,Music_Prompt,Video_Title,Video_Caption_KR,Video_Caption_EN,Theme,ColorPreset
NM001,Gentle Delta Waves - Deep Sleep Journey,Create a deep delta binaural beats track for sleep. Blend soft ASMR textures: light breath-like white noise soft rustling warm ambient air. Everything must be slow warm intimate and safe like a quiet night inside a comforting space. No sudden volume spikes. Balanced low-end soothing mid frequencies zero harsh treble. Delta frequency 0.5-4Hz prominent.,Deep Delta Waves 🌙 1 Hour Deep Sleep Music,오늘 하루도 수고 많으셨어요. 이제 편안히 쉬세요. 깊고 포근한 밤이 되길 바랍니다. 좋은 꿈 꾸세요 💙 | You worked so hard today. Now rest peacefully. May this be a deep and cozy night for you. Sweet dreams 💙,You worked so hard today. Now it's time to rest peacefully. May this be a deep and cozy night for you. Sweet dreams 💙,moonlight,softPink
NM002,Theta Meditation - Calm Mind,Create theta wave ambient music for meditation. Soft water sounds gentle bell tones ethereal pads. Frequency: 4-8Hz for deep relaxation. Include subtle breath rhythm 6 breaths per minute. Warm intimate peaceful. No harsh sounds only gentle flowing textures.,Theta Meditation Waves 🧘 Deep Relaxation Music,마음을 비우고 편안히 호흡하세요. 당신은 충분히 잘하고 있어요. 오늘 밤은 모든 걱정을 내려놓으세요 ✨ | Empty your mind and breathe comfortably. You're doing great. Tonight let go of all worries ✨,Empty your mind and breathe comfortably. You are doing wonderfully. Tonight let go of all your worries ✨,zenfocus,softGreen
NM003,Alpha Relaxation - Peaceful Evening,Create alpha wave music for relaxed awareness. Gentle piano notes soft string harmonics warm pads. Frequency: 8-12Hz. Include nature sounds: light rain distant birds. Everything flows naturally no tension. Calming bedtime atmosphere.,Alpha Relaxation 🌅 Peaceful Evening Music,하루를 마무리하는 시간이에요. 당신의 모든 노력에 감사해요. 편안한 저녁 되세요 🌸 | Time to wrap up the day. Thank you for all your efforts. Have a peaceful evening 🌸,This is the time to close your day. Thank you for all your wonderful efforts. Have such a peaceful and restful evening 🌸,creativeflow,softYellow
NM004,Delta Sleep Sanctuary - Night Cocoon,Create deep delta sleep music with cocoon-like safety. Ultra-soft white noise heartbeat at 60 BPM womb-like atmosphere. Frequency: 1-3Hz. Extremely gentle no sudden changes. Like being wrapped in warm blankets. Ultimate comfort zone.,Delta Sleep Sanctuary 🌙 Safe Night Cocoon,안전하고 따뜻한 밤이에요. 아무 걱정 없이 푹 쉬세요. 당신은 소중한 사람이에요 💫 | This is a safe and warm night. Rest deeply without any worries. You are a precious person 💫,This is such a safe and warm night for you. Rest deeply without any worries at all. You are truly precious 💫,moonlight,softPink
NM005,Theta Dream Portal - Lucid Sleep,Create theta-delta crossover for lucid dreaming. Soft bell tones crystal sounds ethereal vocals. Frequency: 4-6Hz gentle transition. Include subtle guidance tones. Mystical but comforting not scary. Dream-friendly atmosphere.,Theta Dream Portal 🌠 Lucid Sleep Journey,아름다운 꿈의 세계로 초대해요. 오늘 밤은 특별한 꿈을 꾸실 거예요. 편안한 밤 되세요 🌟 | Invited to a beautiful dream world. Tonight you'll have special dreams. Have a comfortable night 🌟,You are invited into a beautiful world of dreams. Tonight you will have such special lovely dreams. Have the most comfortable night 🌟,brainboost,electric
NM006,Beta Focus Flow - Gentle Concentration,Create gentle beta waves for relaxed focus. Soft electronic ambient minimal beats. Frequency: 12-15Hz. Not aggressive just gently focused. Includes nature backdrop. Study-friendly sleeping-ready.,Beta Focus Flow 🎯 Gentle Concentration,집중도 좋지만 휴식도 필요해요. 지금은 편안히 쉬는 시간이에요. 잘 자요 💙 | Focus is good but rest is also needed. Now is time to rest comfortably. Sleep well 💙,While focus is wonderful rest is also so necessary. Right now this is your time to rest comfortably. Sleep so well 💙,mentalfocus,electric
NM007,Delta Ocean Depths - Deep Water Sleep,Create delta waves with deep ocean ambience. Whale songs distant water sounds deep submarine feeling. Frequency: 0.5-2Hz. Everything in slow motion. Underwater safety primordial comfort. No surface noise.,Delta Ocean Depths 🌊 Deep Water Sleep,깊은 바다처럼 고요한 밤이에요. 모든 것을 내려놓고 쉬세요. 평화로운 밤 되세요 🌊 | A night as calm as the deep ocean. Let go of everything and rest. Have a peaceful night 🌊,This night is as beautifully calm as the deep deep ocean. Let go of absolutely everything and just rest. Have the most peaceful night 🌊,ocean,midnight
NM008,Alpha Morning Dew - Gentle Awakening Prep,Create alpha waves for sleep-to-wake bridge. Soft morning bird sounds gentle light feeling. Frequency: 8-10Hz. Prepares gentle awakening while still sleeping. Dawn colors in sound. Hopeful restful.,Alpha Morning Dew 🌅 Gentle Night Bridge,내일은 더 좋은 날이 될 거예요. 오늘 밤 푹 쉬고 새로운 아침을 맞이하세요 ☀️ | Tomorrow will be a better day. Rest deeply tonight and welcome a new morning ☀️,Tomorrow will be such a wonderful beautiful day. Rest so deeply tonight and then welcome your fresh new morning ☀️,creativeflow,softYellow
NM009,Theta Forest Breath - Natural Sleep,Create theta waves with forest atmosphere. Trees breathing wind through leaves bird settling sounds. Frequency: 4-7Hz. Natural rhythms of nature. Grounding peaceful. Forest safety.,Theta Forest Breath 🌲 Natural Deep Sleep,자연이 당신을 품어줘요. 나무들의 숨소리와 함께 편안히 주무세요. 좋은 밤 🌲 | Nature embraces you. Sleep comfortably with the breathing of trees. Good night 🌲,Nature is here to lovingly embrace you. Sleep so comfortably with the gentle breathing of all the trees. Such a good night 🌲,zenfocus,softGreen
NM010,Delta Crystal Cave - Mineral Comfort,Create delta waves with crystal cave resonance. Mineral tones water drops deep earth hum. Frequency: 1-3Hz. Primordial safety womb of earth. Crystal healing frequencies. Ancient comfort.,Delta Crystal Cave 💎 Mineral Sleep Comfort,대지의 품 안에서 편안히 쉬세요. 모든 것이 당신을 지켜주고 있어요. 평안한 밤 💎 | Rest comfortably in earth's embrace. Everything is protecting you. Peaceful night 💎,Rest so comfortably in the loving embrace of the earth. Absolutely everything here is protecting you. Such a peaceful night 💎,moonlight,electric
